Date,Price,Open,High,Low,Vol.,Change %
22-Jul-20,300.33,298.22,300.56,298.11,4.12M,0.57%
21-Jul-20,298.63,299.86,300.35,297.66,3.31M,0.21%
20-Jul-20,298.01,295.33,298.68,294.6,2.54M,0.83%
17-Jul-20,295.55,295.72,296.35,293.75,2.25M,0.26%
16-Jul-20,294.77,293.8,295.11,293.15,3.08M,-0.29%
15-Jul-20,295.63,296.19,296.75,293.35,6.60M,0.89%
14-Jul-20,293.03,287.79,293.32,286.63,4.05M,1.34%
13-Jul-20,289.16,294.1,296.45,288.61,3.66M,-0.90%
12-Jul-20,291.8,291.8,291.8,291.8,-,0.00%
11-Jul-20,291.8,291.8,291.8,291.8,-,0.00%
10-Jul-20,291.8,288.72,292.01,287.34,2.71M,1.00%
9-Jul-20,288.9,291.02,291.3,285.41,3.16M,-0.51%
8-Jul-20,290.38,289,290.55,287.29,2.43M,0.74%
7-Jul-20,288.24,289.67,291.68,287.89,3.42M,-1.04%
6-Jul-20,291.26,290.67,291.58,289.9,3.57M,1.55%
5-Jul-20,286.81,286.81,286.81,286.81,-,0.00%
4-Jul-20,286.81,286.81,286.81,286.81,-,0.00%
2-Jul-20,286.81,288.76,290.05,286.18,3.66M,0.50%
1-Jul-20,285.37,284.37,286.51,283.95,3.71M,0.68%
30-Jun-20,283.43,279.29,284.95,279.15,5.22M,1.33%
29-Jun-20,279.7,276.89,279.72,274.72,3.46M,0.93%
26-Jun-20,277.11,282.72,282.92,276.52,4.48M,-2.34%
